piece_name,front_characters,alternate_front_characters,promotes_to,back_characters,promotion_only_target,notes
King,王将,玉将,,,False,Higher-ranked player commonly uses 王将; lower-ranked player commonly uses 玉将.
Crown prince,太子,,King,王将,False,
Great general,大将,,,,False,
Gold general,金将,,Flying chariot,飛車,False,
Right general,右将,,Right army,右軍,True,
Left general,左将,,Left army,左軍,True,
Rear standard,後旗,,Center standard,中旗,False,
Free king,奔王,,Great general,大将,False,
Free dream-eater,奔獏,,Free king,奔王,False,
Wooden dove,鳩槃,,,,False,
Ceramic dove,鳩盤,,,,False,
Earth dragon,地龍,,Rain dragon,雨龍,False,
Free demon,奔鬼,,Free king,奔王,False,
Running horse,走馬,,Free demon,奔鬼,False,
Beast cadet,獣曹,,Beast officer,獣吏,False,
Tengu,天狗,,,,False,
Right mountain eagle,右山鷲,,Flying eagle,飛鷲,False,
Left mountain eagle,左山鷲,,Flying eagle,飛鷲,False,
Fire demon,火鬼,,Free fire,奔火,True,
Whale,鯨鯢,,Great whale,大鯨,True,
Running rabbit,走兎,,Treacherous fox,隠狐,False,
White tiger,白虎,,Divine tiger,神虎,True,
Turtle-snake,玄武,,Divine turtle,神亀,True,
Incense chariot,香車,,White foal,白駒,False,
Reverse chariot,反車,,Whale,鯨鯢,False,
Fragrant elephant,香象,,Elephant king,象王,True,
White elephant,白象,,Elephant king,象王,True,
Turtle dove,山鳩,,Great dove,大鳩,False,
Flying swallow,飛燕,,Flying chariot,飛車,False,
Fowl officer,禽吏,,Fowl,禽鳥,True,
Rain dragon,雨龍,,Great dragon,大龍,False,
Forest demon,森鬼,,Thunder runner,雷走,True,
Mountain stag,山鹿,,Great stag,大鹿,False,
Running pup,走狗,,Free leopard,奔豹,True,
Running serpent,走蛇,,Free serpent,奔蛇,True,
Side serpent,横蛇,,Great shark,大鱗,True,
Great dove,大鳩,,Wooden dove,鳩槃,False,
Running tiger,走虎,,Free tiger,奔虎,True,
Running bear,走熊,,Free bear,奔熊,True,
Nature spirit,夜叉,,Heavenly tetrarch,四天,True,
Buddhist devil,羅刹,,Heavenly tetrarch,四天,True,
Guardian of the gods,金剛,,Heavenly tetrarch,四天,True,
Sumo wrestler,力士,,Heavenly tetrarch,四天,True,
Silver general,銀将,,Vertical mover,竪行,False,
Drunken elephant,酔象,,Crown prince,太子,False,
Neighboring king,近王,,Front standard,前旗,False,
Gold chariot,金車,,Playful parrot,遊䳇,True,
Side dragon,横龍,,Running dragon,走龍,True,
Running stag,走鹿,,Free stag,奔鹿,True,
Running wolf,走狼,,Free wolf,奔狼,True,
Angle general,角将,,Rain demon,霖鬼,True,
Flying general,飛将,,Flying crocodile,飛鰐,True,
Right tiger,右虎,,White tiger,白虎,False,
Left tiger,左虎,,Turtle-snake,玄武,False,
Right dragon,右龍,,Blue dragon,青龍,False,
Left dragon,左龍,,Vermillion sparrow,朱雀,False,
Beast officer,獣吏,,Beast bird,獣鳥,True,
Wind dragon,風龍,,Free dragon,奔龍,True,
Free pup,奔狗,,Free dog,奔犬,True,
Rushing bird,行鳥,,Free demon,奔鬼,False,
Old kite,古鵄,,Tengu,天狗,False,
Peacock,孔雀,,Tengu,天狗,False,
Water dragon,水龍,,Phoenix master,鳳師,False,
Fire dragon,火龍,,Kirin master,麟師,False,
Copper general,銅将,,Side mover,横行,False,
Phoenix master,鳳師,,,,False,
Kirin master,麟師,,,,False,
Silver chariot,銀車,,Goose wing,鴻翼,True,
Vertical bear,竪熊,,Free bear,奔熊,True,
Cassia horse,桂馬,,Side soldier,横兵,False,
Pig general,豚将,,Free pig,奔豚,True,
Chicken general,鶏将,,Free chicken,奔鶏,True,
Pup general,狗将,,Free pup,奔狗,False,
Horse general,馬将,,Free horse,奔馬,True,
Ox general,牛将,,Free ox,奔牛,True,
Center standard,中旗,,Front standard,前旗,False,
Side boar,横猪,,Free boar,奔猪,True,
Silver rabbit,銀兎,,Whale,鯨鯢,False,
Gold stag,金鹿,,White foal,白駒,False,
Lion,獅子,,Furious fiend,奮迅,True,
Fowl cadet,禽曹,,Fowl officer,禽吏,False,
Great stag,大鹿,,Free stag,奔鹿,True,
Fierce dragon,猛龍,,Great dragon,大龍,False,
Woodland demon,林鬼,,Stone peng,石鵬,True,
Vice general,副将,,Great general,大将,False,
Stone chariot,石車,,Walking heron,歩䳲,True,
Cloud eagle,雲鷲,,Strong eagle,勁鷲,True,
Angle mover,角行,,Dragon horse,龍馬,False,
Flying chariot,飛車,,Dragon king,龍王,False,
Side wolf,横狼,,Free wolf,奔狼,True,
Flying cat,飛猫,,Flying chariot,飛車,False,
Mountain hawk,山鷹,,Horned hawk,角鷹,False,
Vertical tiger,竪虎,,Free tiger,奔虎,True,
Soldier,兵士,,Cavalier,騎士,True,
Little standard,小旗,,Rear standard,後旗,False,
Cloud dragon,雲龍,,Great dragon,大龍,False,
Copper chariot,銅車,,Copper elephant,銅象,True,
Running chariot,走車,,Cannon chariot,炮車,True,
Ram's-head soldier,羊兵,,Tiger soldier,虎兵,True,
Fierce ox,猛牛,,Flying ox,飛牛,False,
Great dragon,大龍,,Ancient dragon,元龍,True,
Gold bird,金翅,,Free bird,奔翅,True,
Dark spirit,無明,,Buddhist spirit,法性,True,
Deva,提婆,,King of teachings,教王,True,
Wood chariot,木車,,Wind snapping turtle,風鼈,True,
White foal,白駒,,Great foal,大駒,True,
Howling dog (left),𠵇犬,,Left dog,左犬,True,Rare first character may be absent from some fonts.
Howling dog (right),𠵇犬,,Right dog,右犬,True,Rare first character may be absent from some fonts.
Side mover,横行,,Free boar,奔猪,True,
Prancing stag,踊鹿,,Square mover,方行,False,
Water ox,水牛,,Great dream-eater,大獏,True,
Fierce leopard,猛豹,,Angle mover,角行,False,
Fierce eagle,猛鷲,,Flying eagle,飛鷲,False,
Flying dragon,飛龍,,Dragon king,龍王,False,
Poisonous serpent,毒蛇,,Hook mover,鉤行,False,
Flying goose,鳫飛,,Swallow's wings,燕羽,False,
Strutting crow,烏行,,Flying hawk,飛鷹,True,
Blind dog,盲犬,,Fierce stag,猛鹿,False,
Water general,水将,,Vice general,副将,False,
Fire general,火将,,Great general,大将,False,
Phoenix,鳳凰,,Gold bird,金翅,False,
Kirin,麒麟,,Gold bird,金翅,False,
Hook mover,鉤行,,,,False,
Little turtle,小亀,,Treasure turtle,宝亀,True,
Great turtle,大亀,,Spirit turtle,霊亀,True,
Capricorn,摩羯,,Hook mover,鉤行,False,
Tile chariot,瓦車,,Running tile,走瓦,True,
Vertical wolf,竪狼,,Running wolf,走狼,False,
Side ox,横牛,,Flying ox,飛牛,False,
Donkey,驢馬,,Ceramic dove,鳩盤,False,
Flying horse,馬麟,,Free king,奔王,False,
Fierce bear,猛熊,,Great bear,大熊,True,
Angry boar,嗔猪,,Free boar,奔猪,True,
Evil wolf,悪狼,,Poisonous wolf,毒狼,True,
Wind horse,風馬,,Heavenly horse,天馬,True,
Flying chicken,鶏飛,,Raiding hawk,延鷹,True,
Old monkey,古猿,,Mountain witch,山母,True,
Huai chicken,淮鶏,,Wizard stork,仙⿱而鷦,True,Wikipedia represents the rare second promoted glyph using an ideographic description sequence (IDS); most fonts will not render it as a single glyph.
Northern barbarian,北狄,,Wooden dove,鳩槃,False,
Southern barbarian,南蛮,,Gold bird,金翅,False,
Western barbarian,西戎,,Lion dog,狛犬,False,
Eastern barbarian,東夷,,Lion,獅子,False,
Fierce stag,猛鹿,,Rushing boar,行猪,True,
Fierce wolf,猛狼,,Bear's eyes,熊眼,True,
Treacherous fox,隠狐,,Mountain crane,山鶻,True,
Center master,中師,,,,False,
Peng master,鵬師,,,,False,
Earth chariot,土車,,Reed bird,芦鳥,True,
Vermillion sparrow,朱雀,,Divine sparrow,神雀,True,
Blue dragon,青龍,,Divine dragon,神龍,True,
Enchanted badger,変狸,,Ceramic dove,鳩盤,False,
Horseman,騎兵,,Cavalier,騎士,True,
Swooping owl,鴟行,,Cloud eagle,雲鷲,False,
Climbing monkey,登猿,,Fierce stag,猛鹿,False,
Cat sword,猫刀,,Dragon horse,龍馬,False,
Swallow's wings,燕羽,,Gliding swallow,燕行,True,
Blind monkey,盲猿,,Flying stag,飛鹿,True,
Blind tiger,盲虎,,Flying stag,飛鹿,True,
Ox chariot,牛車,,Plodding ox,歬牛,True,
Side flyer,横飛,,Side dragon,横龍,False,
Blind bear,盲熊,,Flying stag,飛鹿,True,
Old rat,老鼠,,Mocking bird,⿰古寺⿱時鳥 / ⿰舌寺⿱時鳥,True,Wikipedia represents the promoted name with IDS compositions rather than ordinary Unicode characters; a custom glyph/vector is needed for faithful rendering.
Square mover,方行,,Strong chariot,強車,True,
Coiled serpent,蟠蛇,,Coiled dragon,蟠龍,True,
