piece_name,category,basis
King,Taikyoku royal,Project default; physical size unverified
Crown prince,Taikyoku royal,Project default; physical size unverified
Great general,Taikyoku medium,Project default; physical size unverified
Gold general,Taikyoku medium,Project default; physical size unverified
Right general,Taikyoku medium,Project default; physical size unverified
Left general,Taikyoku medium,Project default; physical size unverified
Rear standard,Taikyoku medium,Project default; physical size unverified
Free king,Taikyoku medium,Project default; physical size unverified
Free dream-eater,Taikyoku large,Project default; physical size unverified
Wooden dove,Taikyoku medium,Project default; physical size unverified
Ceramic dove,Taikyoku medium,Project default; physical size unverified
Earth dragon,Taikyoku medium,Project default; physical size unverified
Free demon,Taikyoku medium,Project default; physical size unverified
Running horse,Taikyoku medium,Project default; physical size unverified
Beast cadet,Taikyoku medium,Project default; physical size unverified
Tengu,Taikyoku medium,Project default; physical size unverified
Right mountain eagle,Taikyoku medium,Project default; physical size unverified
Left mountain eagle,Taikyoku medium,Project default; physical size unverified
Fire demon,Taikyoku medium,Project default; physical size unverified
Whale,Taikyoku medium,Project default; physical size unverified
Running rabbit,Taikyoku medium,Project default; physical size unverified
White tiger,Taikyoku medium,Project default; physical size unverified
Turtle-snake,Taikyoku medium,Project default; physical size unverified
Incense chariot,Taikyoku medium,Project default; physical size unverified
Reverse chariot,Taikyoku medium,Project default; physical size unverified
Fragrant elephant,Taikyoku medium,Project default; physical size unverified
White elephant,Taikyoku medium,Project default; physical size unverified
Turtle dove,Taikyoku medium,Project default; physical size unverified
Flying swallow,Taikyoku medium,Project default; physical size unverified
Fowl officer,Taikyoku medium,Project default; physical size unverified
Rain dragon,Taikyoku medium,Project default; physical size unverified
Forest demon,Taikyoku medium,Project default; physical size unverified
Mountain stag,Taikyoku medium,Project default; physical size unverified
Running pup,Taikyoku medium,Project default; physical size unverified
Running serpent,Taikyoku medium,Project default; physical size unverified
Side serpent,Taikyoku medium,Project default; physical size unverified
Great dove,Taikyoku medium,Project default; physical size unverified
Running tiger,Taikyoku medium,Project default; physical size unverified
Running bear,Taikyoku medium,Project default; physical size unverified
Nature spirit,Taikyoku medium,Project default; physical size unverified
Buddhist devil,Taikyoku medium,Project default; physical size unverified
Guardian of the gods,Taikyoku medium,Project default; physical size unverified
Sumo wrestler,Taikyoku medium,Project default; physical size unverified
Silver general,Taikyoku medium,Project default; physical size unverified
Drunken elephant,Taikyoku medium,Project default; physical size unverified
Neighboring king,Taikyoku medium,Project default; physical size unverified
Gold chariot,Taikyoku medium,Project default; physical size unverified
Side dragon,Taikyoku medium,Project default; physical size unverified
Running stag,Taikyoku medium,Project default; physical size unverified
Running wolf,Taikyoku medium,Project default; physical size unverified
Angle general,Taikyoku medium,Project default; physical size unverified
Flying general,Taikyoku medium,Project default; physical size unverified
Right tiger,Taikyoku medium,Project default; physical size unverified
Left tiger,Taikyoku medium,Project default; physical size unverified
Right dragon,Taikyoku medium,Project default; physical size unverified
Left dragon,Taikyoku medium,Project default; physical size unverified
Beast officer,Taikyoku medium,Project default; physical size unverified
Wind dragon,Taikyoku medium,Project default; physical size unverified
Free pup,Taikyoku medium,Project default; physical size unverified
Rushing bird,Taikyoku medium,Project default; physical size unverified
Old kite,Taikyoku medium,Project default; physical size unverified
Peacock,Taikyoku medium,Project default; physical size unverified
Water dragon,Taikyoku medium,Project default; physical size unverified
Fire dragon,Taikyoku medium,Project default; physical size unverified
Copper general,Taikyoku medium,Project default; physical size unverified
Phoenix master,Taikyoku medium,Project default; physical size unverified
Kirin master,Taikyoku medium,Project default; physical size unverified
Silver chariot,Taikyoku medium,Project default; physical size unverified
Vertical bear,Taikyoku medium,Project default; physical size unverified
Cassia horse,Taikyoku medium,Project default; physical size unverified
Pig general,Taikyoku medium,Project default; physical size unverified
Chicken general,Taikyoku medium,Project default; physical size unverified
Pup general,Taikyoku medium,Project default; physical size unverified
Horse general,Taikyoku medium,Project default; physical size unverified
Ox general,Taikyoku medium,Project default; physical size unverified
Center standard,Taikyoku medium,Project default; physical size unverified
Side boar,Taikyoku medium,Project default; physical size unverified
Silver rabbit,Taikyoku medium,Project default; physical size unverified
Gold stag,Taikyoku medium,Project default; physical size unverified
Lion,Taikyoku medium,Project default; physical size unverified
Fowl cadet,Taikyoku medium,Project default; physical size unverified
Great stag,Taikyoku medium,Project default; physical size unverified
Fierce dragon,Taikyoku medium,Project default; physical size unverified
Woodland demon,Taikyoku medium,Project default; physical size unverified
Vice general,Taikyoku medium,Project default; physical size unverified
Stone chariot,Taikyoku medium,Project default; physical size unverified
Cloud eagle,Taikyoku medium,Project default; physical size unverified
Angle mover,Taikyoku medium,Project default; physical size unverified
Flying chariot,Taikyoku large,Project default; physical size unverified
Side wolf,Taikyoku medium,Project default; physical size unverified
Flying cat,Taikyoku medium,Project default; physical size unverified
Mountain hawk,Taikyoku medium,Project default; physical size unverified
Vertical tiger,Taikyoku medium,Project default; physical size unverified
Soldier,Taikyoku medium,Project default; physical size unverified
Little standard,Taikyoku medium,Project default; physical size unverified
Cloud dragon,Taikyoku medium,Project default; physical size unverified
Copper chariot,Taikyoku medium,Project default; physical size unverified
Running chariot,Taikyoku medium,Project default; physical size unverified
Ram's-head soldier,Taikyoku medium,Project default; physical size unverified
Fierce ox,Taikyoku medium,Project default; physical size unverified
Great dragon,Taikyoku medium,Project default; physical size unverified
Gold bird,Taikyoku medium,Project default; physical size unverified
Dark spirit,Taikyoku medium,Project default; physical size unverified
Deva,Taikyoku medium,Project default; physical size unverified
Wood chariot,Taikyoku medium,Project default; physical size unverified
White foal,Taikyoku medium,Project default; physical size unverified
Howling dog (left),Taikyoku medium,Project default; physical size unverified
Howling dog (right),Taikyoku medium,Project default; physical size unverified
Side mover,Taikyoku medium,Project default; physical size unverified
Prancing stag,Taikyoku medium,Project default; physical size unverified
Water ox,Taikyoku medium,Project default; physical size unverified
Fierce leopard,Taikyoku medium,Project default; physical size unverified
Fierce eagle,Taikyoku medium,Project default; physical size unverified
Flying dragon,Taikyoku medium,Project default; physical size unverified
Poisonous serpent,Taikyoku medium,Project default; physical size unverified
